"season","sampling_date","site","tree","fig","foundress_number","pegoscapus_f","pegoscapus_m","LO1_f","SO1_f","SO2_f","idarnes_m","heterandrium_1_f","heterandrium_1_mw","heterandrium_1_mu","heterandrium_2_f","heterandrium_2_mw","heterandrium_2_mu","ficicola_f","ficicola_m","physothorax_f","physothorax_m","sycophila","unidentified_idarnes","unidentified_wasps"
"F2012","03-11-12",158,"20","1",0,0,3,3,0,0,15,0,0,0,0,0,0,0,0,1,7,0,0,0
"F2012","03-11-12",158,"20","2",1,6,0,3,26,8,9,0,0,1,0,0,1,0,0,0,4,0,0,0
"F2012","03-11-12",158,"20","3",2,0,2,2,20,10,41,0,0,0,0,0,0,0,0,0,2,0,0,0
"F2012","03-11-12",158,"20","4",2,0,0,1,0,21,14,0,0,1,2,0,0,0,1,2,4,0,1,0
"F2012","03-11-12",158,"22A","1",2,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","2",1,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","3",0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,1,0,0,0,4
"F2012","03-11-12",158,"22A","4",0,0,0,0,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","5",1,0,3,10,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","6",1,0,0,2,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,2
"F2012","03-11-12",158,"22A","7",3,0,0,12,8,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","8",1,0,0,8,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","9",1,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","10",0,0,0,9,4,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","11",0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,0,0,0,0
"F2012","03-11-12",158,"22A","12",1,0,0,0,19,0,23,0,0,0,0,0,0,0,0,0,0,0,0,2
"F2012","03-11-12",158,"22A","13",2,0,1,17,23,0,36,0,0,0,0,0,0,0,0,0,0,0,0,2
"F2012","03-11-12",158,"22A","14",1,0,0,5,23,22,16,0,0,0,2,0,1,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","15",2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0
"F2012","03-11-12",158,"22A","16",2,0,0,0,17,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","17",2,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","18",1,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0
"F2012","03-11-12",158,"22A","19",1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"22A","20",3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"25","1",2,0,0,36,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"29","1",2,0,2,9,3,20,15,0,0,0,1,0,1,0,0,0,2,0,1,0
"F2012","03-11-12",158,"29","2",2,3,1,0,1,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0
"F2012","03-11-12",158,"29","3",1,3,0,4,0,16,14,0,0,0,0,0,0,0,0,0,4,0,0,0
"F2012","03-11-12",158,"29","4",2,0,1,4,2,12,2,0,0,0,0,0,0,0,0,0,7,0,0,0
"F2012","03-11-12",158,"29","5",2,1,0,5,16,0,21,0,0,0,0,4,0,0,0,0,0,0,0,0
"F2012","03-11-12",158,"29","6",0,0,2,1,3,8,14,0,0,0,0,1,3,0,0,0,1,0,0,0
"F2012","03-11-12",158,"29","7",1,7,3,1,7,13,9,0,0,0,0,0,1,0,0,0,1,0,0,0
"F2012","03-11-12",158,"29","8",1,0,0,7,0,4,12,0,0,0,0,0,0,0,0,0,2,0,0,0
"F2012","03-11-12",158,"36","2",NA,0,0,1,0,8,19,0,0,0,0,0,0,0,0,0,10,0,0,0
"F2012","03-11-12",158,"39","1",1,1,0,11,0,20,53,0,0,0,0,0,0,0,0,12,0,0,0,8
"F2012","03-11-12",158,"39","2",1,0,0,4,4,18,3,0,0,1,0,1,1,0,0,0,0,0,0,0
"F2012","03-11-12",158,"39","3",2,9,2,8,0,20,9,0,0,0,3,0,0,0,0,4,0,0,0,0
"F2012","03-11-12",158,"39","4",1,0,1,1,4,3,8,3,2,1,3,0,1,0,0,0,0,0,0,2
