ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A1_061_Line_Y_1km,MOD11A1_061_Sample_X_1km,MOD11A1_061_Clear_day_cov,MOD11A1_061_Clear_night_cov,MOD11A1_061_Day_view_angl,MOD11A1_061_Day_view_time,MOD11A1_061_Emis_31,MOD11A1_061_Emis_32,MOD11A1_061_LST_Day_1km,MOD11A1_061_LST_Night_1km,MOD11A1_061_Night_view_angl,MOD11A1_061_Night_view_time,MOD11A1_061_QC_Day,MOD11A1_061_QC_Night,MOD11A1_061_QC_Day_bitmask,MOD11A1_061_QC_Day_MODLAND,MOD11A1_061_QC_Day_MODLAND_Description,MOD11A1_061_QC_Day_Data_Quality_flag,MOD11A1_061_QC_Day_Data_Quality_flag_Description,MOD11A1_061_QC_Day_Emis_Error_flag,MOD11A1_061_QC_Day_Emis_Error_flag_Description,MOD11A1_061_QC_Day_LST_Error_Flag,MOD11A1_061_QC_Day_LST_Error_Flag_Description,MOD11A1_061_QC_Night_bitmask,MOD11A1_061_QC_Night_MODLAND,MOD11A1_061_QC_Night_MODLAND_Description,MOD11A1_061_QC_Night_Data_Quality_flag,MOD11A1_061_QC_Night_Data_Quality_flag_Description,MOD11A1_061_QC_Night_Emis_Error_flag,MOD11A1_061_QC_Night_Emis_Error_flag_Description,MOD11A1_061_QC_Night_LST_Error_Flag,MOD11A1_061_QC_Night_LST_Error_Flag_Description
Bahia de los Angeles,28.6,-113.55,2011-01-01,h08v06,168,36,1.0,0.0,36.0,11.1000004,0.972,0.9760001,286.2599792,0.0,255.0,255.0,81,2,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-02,h08v06,168,36,1.2270001,0.0,-57.0,10.1999998,0.972,0.9760001,289.3800049,0.0,255.0,255.0,81,2,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-03,h08v06,168,36,0.9875001,1.9980001,14.0,10.9000006,0.972,0.9760001,293.6600037,278.4400024,57.0,22.8000011,17,17,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-04,h08v06,168,36,0.0,0.9965001,255.0,255.0,0.972,0.9760001,0.0,280.3200073,-36.0,21.8999996,2,17,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-05,h08v06,168,36,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-06,h08v06,168,36,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,255.0,255.0,2,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-07,h08v06,168,36,1.0,0.0,-35.0,10.5,0.972,0.9760001,296.8399963,0.0,255.0,255.0,17,2,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-08,h08v06,168,36,1.0,1.0,44.0,11.1999998,0.972,0.9760001,290.8999939,282.5799866,-62.0,21.5,17,17,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-09,h08v06,168,36,1.0,0.9105,-51.0,10.3000002,0.972,0.9760001,295.6600037,281.1999817,-1.0,22.2000008,81,17,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-10,h08v06,168,36,1.0,2.0,25.0,11.0,0.972,0.9760001,295.9599915,280.6999817,61.0,22.8999996,17,81,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Bahia de los Angeles,28.6,-113.55,2011-01-11,h08v06,168,36,0.6695001,1.5860001,-62.0,10.1000004,0.972,0.9760001,295.0599976,280.4400024,-26.0,22.0,81,81,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Bahia de los Angeles,28.6,-113.55,2011-01-12,h08v06,168,36,0.988,2.0,0.0,10.8000002,0.972,0.9760001,295.5,280.1799927,51.0,22.7000008,17,17,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-13,h08v06,168,36,0.365,0.998,61.0,11.5,0.972,0.9760001,294.7200012,281.1399841,-45.0,21.8000011,81,17,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-14,h08v06,168,36,1.0,0.9990001,-25.0,10.6000004,0.972,0.9760001,297.6799927,283.019989,35.0,22.5,17,17,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-15,h08v06,168,36,0.988,2.0,51.0,11.3000002,0.972,0.9760001,292.9799805,283.6600037,-58.0,21.6000004,81,17,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-16,h08v06,168,36,1.3095001,1.0,-44.0,10.4000006,0.972,0.9760001,298.9400024,283.6999817,12.0,22.3000011,17,17,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-17,h08v06,168,36,1.0,0.0,35.0,11.1000004,0.972,0.9760001,299.5599976,0.0,255.0,255.0,17,2,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-18,h08v06,168,36,2.0,1.0,-57.0,10.1999998,0.972,0.9760001,302.7799988,287.8599854,-15.0,22.1000004,17,17,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-19,h08v06,168,36,0.0,0.029,255.0,255.0,0.972,0.9760001,0.0,288.3800049,56.0,22.8000011,2,81,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K
Bahia de los Angeles,28.6,-113.55,2011-01-20,h08v06,168,36,0.0,1.9895,255.0,255.0,0.972,0.9760001,0.0,288.5,-37.0,21.8999996,2,17,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-21,h08v06,168,36,1.0,1.3240001,-13.0,10.6999998,0.972,0.9760001,297.4599915,282.6600037,43.0,22.6000004,17,17,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-22,h08v06,168,36,2.0,2.0,56.0,11.4000006,0.972,0.9760001,294.5599976,282.5599976,-52.0,21.7000008,81,17,0b01010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b01,Average LST error <= 2K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
Bahia de los Angeles,28.6,-113.55,2011-01-23,h08v06,168,36,1.5525001,1.4765,-36.0,10.5,0.972,0.9760001,297.0,284.2200012,24.0,22.3999996,17,17,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K,0b00010001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b00,Good data quality,0b01,Average emissivity error <= 0.02,0b00,Average LST error <= 1K
